lat lon size bulge/disk flux redshift e1 e2 gamma1 gamma2
0.364338 -0.0255551 10.7261 74.0412 0.0141125 0.13031 0.138262 0.137664 0.000545328 0.000757667
-0.0864333 -0.485036 9.26073 24.9227 0.0340802 0.130607 -0.063866 0.0127061 0.0113601 0.000727902
0.414012 0.0142693 8.04617 19.3214 0.0345148 0.132746 0.133956 0.378916 -0.000666756 -0.000566142
0.183298 0.00830911 6.28307 25.1198 0.0427617 0.134599 -0.0922864 0.119429 0.00631958 0.0379513
-0.31665 -0.118583 3.86584 160.62 0.0166692 0.141343 -0.122775 -0.258012 0.000199169 0.00235335
0.295302 -0.376769 9.75712 102.049 0.0165193 0.144501 0.584507 0.252022 -0.000439677 -0.000617332
0.42745 -0.153097 4.7049 8.56094 0.0139736 0.144502 -0.222126 0.41086 0.00490269 -0.00139518
0.356683 -0.301676 4.00693 101.753 0.0222572 0.144537 -0.0989921 -0.0911728 0.00105185 0.00544853
0.0016029 0.438126 8.84585 27.8662 0.0184445 0.14493 -0.242976 0.286749 -0.00219427 0.00260962
0.442338 -0.21252 3.33149 34.1821 0.0106921 0.145295 -0.0844804 -0.23056 -0.00955309 -0.0098839
-0.113775 0.47079 7.1322 8.79766 0.0449714 0.14838 -0.102598 -0.243382 -0.000137806 -0.000519027
-0.237561 0.44612 1.72971 33.5028 0.0203594 0.149331 0.00968683 -0.326648 -0.000417221 -0.0011382
-0.108131 0.0435422 4.30147 2.99582 0.0257103 0.149377 -0.052702 0.354712 -0.00035512 0.00763808
-0.475823 0.00707741 5.57725 20.3806 0.011295 0.150082 -0.149553 -0.278725 -0.0089967 0.000214569
-0.375036 0.206823 9.54643 17.87 0.0206427 0.150176 -0.672429 -0.170557 0.000303115 0.00167909
0.464468 0.463865 7.38064 74.4078 0.0270033 0.151327 -0.14535 -0.049649 0.0016554 -0.0110814
-0.118649 0.0342178 7.95587 194.895 0.0313822 0.151354 -0.0650585 -0.0062367 -0.00251905 0.0125743
0.108663 0.330582 4.96398 142.681 0.0196759 0.151528 0.224354 0.189225 0.00749701 0.00460605
0.486623 0.1867 4.92477 18.5915 0.0130856 0.151779 0.0855354 -0.188574 0.00155483 0.0091589
-0.129391 -0.499989 2.51724 174.92 0.0291293 0.152097 0.343524 0.000938664 -0.00741387 0.0195935
-0.0814217 0.255456 5.14733 176.955 0.0423977 0.153106 -0.0885151 0.107934 9.76141e-05 -0.0116407
0.43164 -0.443169 5.76882 17.1245 0.0491226 0.153334 0.0983183 -0.37487 -0.00733548 0.00626603
0.41509 0.323962 3.0593 191.288 0.0151695 0.153689 0.0118285 -0.219045 8.2576e-05 -0.00119378
0.419607 0.474729 5.03181 18.0335 0.0139742 0.153805 -0.138859 0.255869 0.000637783 0.000808038
0.46031 -0.226233 4.75693 29.5365 0.0497481 0.153928 -0.13279 0.0859733 -0.0249057 0.00387474
0.191882 -0.311769 8.75258 33.3881 0.0226894 0.154392 0.213045 0.525801 0.011761 0.00675554
-0.280427 0.19965 1.93649 147.519 0.010782 0.161211 -0.221369 0.318931 0.000940695 -0.0286456
-0.466514 0.123011 5.53309 30.291 0.0338276 0.162587 0.0500617 -0.203658 -0.00380798 0.00588494
-0.360372 0.335996 2.94635 13.2233 0.0163088 0.162918 0.228145 0.059454 -0.000760283 -0.00255057
-0.288442 -0.0741021 3.68154 14.8924 0.0287345 0.163101 -0.209573 0.244304 -0.00404514 0.0099038
-0.273771 0.443022 3.42456 13.684 0.0155316 0.163508 0.253984 -0.209216 -0.0030499 -0.00367295
-0.340642 -0.025219 5.39408 81.4222 0.0100107 0.16389 -0.0308752 -0.00898472 0.00631074 0.00163873
-0.0817509 -0.144709 7.60511 73.9884 0.0326697 0.163958 -0.0922895 0.0940121 -0.00133655 0.00933283
-0.413872 0.0436062 8.97231 158.799 0.0250713 0.164113 -0.187605 -0.116257 -0.00600231 -0.0276962
0.132177 0.1214 5.1613 48.7507 0.0100393 0.164465 -0.167013 0.0290671 -0.00289193 -0.00371843
0.359055 -0.136658 5.78515 193.191 0.0118063 0.164677 -0.10089 -0.0109252 -0.00321374 0.0176942
-0.419677 -0.0451432 2.44129 30.3726 0.0191939 0.164713 0.20784 -0.0320125 -0.00266271 0.0056504
-0.0854479 0.0600197 7.08047 155.589 0.010851 0.165132 0.282215 -0.111178 0.00726171 0.00658623
0.29251 0.0733756 6.27921 25.7485 0.0138848 0.165224 0.432397 -0.178394 0.0244168 -0.00231448
0.0180859 -0.322007 4.59743 35.7337 0.0172078 0.165405 -0.0228964 -0.0685739 0.00241518 0.00332027
-0.0993846 0.0955867 6.72961 22.3524 0.0151587 0.165508 -0.166888 0.0389158 0.017296 0.015884
-0.418413 0.354207 6.40197 8.85624 0.0199469 0.165514 -0.0429455 -0.000683555 -0.00912882 0.00473881
0.0677319 0.26773 6.98693 3.87671 0.0360437 0.165556 0.115018 -0.129892 0.00175836 0.0148284
-0.00903111 0.362734 3.40516 97.5197 0.0227041 0.165681 -0.497052 -0.250966 0.00193527 0.0135935
-0.0838442 0.454084 5.93978 38.1907 0.0142752 0.165907 0.00101895 0.231207 -0.0014099 -0.00574417
0.440338 0.121038 4.58277 20.4966 0.0409828 0.165959 -0.479459 0.0899156 0.00224627 0.00918025
0.447458 0.108252 3.87938 70.9314 0.0218022 0.166039 -0.146368 -0.169992 -0.0983213 0.0139623
-0.158642 -0.103246 6.14359 304.581 0.0391029 0.166283 0.0697905 0.16614 -0.00251963 0.00854558
-0.237542 -0.0223397 5.22183 100.59 0.0105362 0.166513 -0.072523 0.128578 -0.0146465 0.00859908
-0.190351 -0.0886041 6.85188 303.786 0.0226827 0.166908 0.197385 -0.00664565 -0.00476483 -0.00467204
0.0377829 -0.439363 2.88522 30.1336 0.0312032 0.166947 -0.146307 0.0427508 0.000942475 0.101725
-0.235924 -0.0569161 6.37685 16.0619 0.033445 0.169787 0.0311165 -0.191702 -0.000941293 -0.0144295
-0.35626 0.0200226 9.17432 17.5689 0.0279027 0.171563 -0.00448411 -0.00553948 -0.0107636 -0.00313488
-0.430278 -0.322947 7.36392 9.73844 0.0108029 0.172554 0.00881231 -0.214554 -0.00292457 -0.00317957
-0.265626 -0.332632 8.25576 21.3455 0.0454475 0.173425 0.127514 0.392369 0.000226961 0.00319904
-0.160669 -0.408936 2.22881 19.4036 0.010889 0.175569 0.113166 -0.0856168 0.00211362 0.000153275
-0.0218931 -0.13049 3.8197 175.093 0.0174763 0.176412 -0.278261 0.374154 -0.00939836 0.0186468
-0.0681415 -0.19784 3.5002 13.5616 0.0183165 0.17674 -0.359018 0.135076 -0.00179326 0.00165863
-0.364911 0.132841 4.7905 167.503 0.0154097 0.177995 0.3998 0.072762 -0.00316224 0.00273643
0.348242 0.185735 5.79366 16.3758 0.0459885 0.181003 -0.400779 -0.0353936 0.00302289 0.0108877
-0.215663 -0.464351 5.21853 20.9736 0.0282723 0.181212 0.169555 0.0729393 0.00472444 0.00273395
0.199127 -0.000871893 3.64904 98.1953 0.0183152 0.181496 0.149325 0.181874 0.1121 -0.00521489
-0.367472 0.0127658 3.49078 30.2923 0.0281705 0.182091 0.401823 0.210481 -0.00569625 -0.00173806
0.425017 0.0610447 9.79811 98.0777 0.0447868 0.183185 -0.292244 0.38769 -0.0143091 0.0165863
0.126837 -0.0974741 5.36222 13.8137 0.0183707 0.183614 0.134148 -0.315985 -0.00805807 -0.0256505
0.115111 -0.298353 4.03735 305.317 0.0279385 0.184302 -0.229431 0.333994 -0.0154312 -0.00124081
-0.426138 0.233086 2.75447 24.1476 0.0228689 0.184562 0.135828 -0.102526 -0.00644337 0.00238105
-0.422898 0.242058 3.7106 146.869 0.0185475 0.184618 -0.0839751 0.194586 -0.00444793 -0.00561554
0.478959 -0.417619 5.58744 43.9329 0.0213234 0.185351 -0.0839569 -0.414349 -0.00543785 -0.001336
